ANO,RESIDENCIAL,INDUSTRIAL,COMERCIAL,OUTROS
1995,63576.09392,111626.16092999998,32276.26017,35595.695029999995
1996,68581.28330000001,117127.59543,34387.694500000005,37233.73579
1997,74089.15430000001,121717.133,38197.504,39276.171
1998,79340.00033,121979.1355,41544.09419999999,41658.909369999994
1999,81291.21489999999,123892.58841999999,43587.934049999996,43416.38964
2000,83613.37359999999,131278.17205,47626.193040000006,45011.033780000005
2001,73622.20572,122538.81121999999,44433.6207,42662.689790000004
2002,72718.3067,130927.33173999998,45221.517349999995,44359.28045
2003,76162.17,136220.613,47531.45,47072.53
2004,78470.11008,156320.675381,49685.887969999996,47388.5002
2005,82644.25645000002,159662.49654900003,53034.56214999999,49994.94456
2006,85783.82575999999,163180.400829,55368.73928,51796.34969
2007,89885.372,174368.774,58647.003,54128.865
2008,94746.38880000002,175834.05841,61812.90037,56079.0514
2009,100776.17,161798.66149999996,65254.562,56476.98685000001
2010,107214.67,179478.30730000001,69169.9966,59804.78375999999
2011,111970.666,183575.548,73481.523,63987.896860000015
2012,117645.84953,183424.83924,79226.35562999999,67829.34645000001
2013,124907.962,184684.557,83703.88,69846.09462999999
2014,132301.85,179105.67788,89840.459,73575.46701000001
2015,131189.76807,169562.77962000004,90767.54086,74467.0675
2016,132872.085,165602.8902,87872.838,75720.96198000001
2017,134368.498,167711.08671,88292.49,77102.65805
2018,137614.94413,170041.48654999997,88630.60479099999,78949.74266000002
2019,141929.62902000002,167403.93686999998,92172.59081200001,80577.342739
